Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17),Value (18),Value (19),Value (20),Value (21),Value (22),Value (23),Value (24),Value (25),Value (26),Value (27),Value (28),Value (29)
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
migration,2014_10_12_000000_create_users_table,2014_10_12_100000_create_password_reset_tokens_table,2018_07_22_000100_create_love_reacters_table,2018_07_22_001000_create_love_reactants_table,2018_07_22_001500_create_love_reaction_types_table,2018_07_22_002000_create_love_reactions_table,2018_07_25_000000_create_love_reactant_reaction_counters_table,2018_07_25_001000_create_love_reactant_reaction_totals_table,2019_08_19_000000_create_failed_jobs_table,2019_12_14_000001_create_personal_access_tokens_table,2020_10_04_115514_create_moonshine_roles_table,2020_10_05_173148_create_moonshine_tables,2022_04_14_115549_create_moonshine_change_logs_table,2022_12_19_115549_create_moonshine_socialites_table,2023_01_20_173629_create_moonshine_user_permissions_table,2023_04_21_092406_create_profiles_table,2023_05_04_063700_create_categories_table,2023_05_04_063724_create_articles_table,2023_05_04_063730_create_sources_table,2023_05_04_063750_create_news_table,2023_05_04_064043_create_comments_table,2023_05_04_085412_create_permission_tables,2023_05_04_090542_create_taggable_table,2023_05_04_100565_add_love_reacter_id_to_users_table,2023_05_04_110758_add_love_reactant_id_to_articles_table,2023_05_04_203753_add_love_reactant_id_to_comments_table,2023_05_04_211083_add_deleted_at_to_users_table,2023_05_10_152548_create_media_table,9999_12_20_173629_create_notifications_table
batch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
