Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17),Value (18),Value (19),Value (20),Value (21),Value (22),Value (23),Value (24),Value (25),Value (26),Value (27),Value (28),Value (29),Value (30)
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
name,block-users,unblock-users,show-all pending articles,publish-all pending articles,delete-all pending articles,block-all published articles,show-all published news,create-all published news,edit-all published news,delete-all published news,show-all comments,block-all comments,delete-all comments,show-own draft articles,create-own draft articles,edit-own draft articles,delete-own draft articles,show-own published articles,create-own published articles,edit-own published articles,delete-own published articles,show-own profile,create-own profile,edit-own profile,delete-own profile,show-all published articles,show-own comments,create-own comments,edit-own comments,delete-own comments
guard_name,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web,web
created_at,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:14,2023-05-13 14:18:14,2023-05-13 14:18:14
updated_at,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:10,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:11,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:12,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:13,2023-05-13 14:18:14,2023-05-13 14:18:14,2023-05-13 14:18:14
